ref_area.label,,,,time,obs_value
Argentina,,,,2017,54.91
Argentina,,,,2014,36.51
Argentina,,,,2014,24.24
Argentina,,,,2014,53.67
Argentina,,,,2013,35.64
Argentina,,,,2013,23.76
Argentina,,,,2013,52.37
Argentina,,,,2012,35.76
Argentina,,,,2012,23.78
Argentina,,,,2012,52.58
Argentina,,,,2011,34.68
Argentina,,,,2011,23.31
Argentina,,,,2011,50.86
Argentina,,,,2010,35.27
Argentina,,,,2010,23.26
Argentina,,,,2010,52.11
Argentina,,,,2009,36.08
Argentina,,,,2009,24.02
Argentina,,,,2009,52.54
Argentina,,,,2008,34.82
Argentina,,,,2008,22.9
Argentina,,,,2008,51.51
Argentina,,,,2006,37.12
Argentina,,,,2006,24.59
Argentina,,,,2006,54.4
Argentina,,,,2005,37.88
Argentina,,,,2005,25.71
Argentina,,,,2005,54.8
Argentina,,,,2004,39.62
Argentina,,,,2004,27.82
Argentina,,,,2004,55.88
Armenia,,,,2018,31.64
Armenia,,,,2018,22.03
Armenia,,,,2018,41.98
Armenia,,,,2017,33.63
Armenia,,,,2017,24.67
Armenia,,,,2017,43.47
Armenia,,,,2016,36.49
Armenia,,,,2016,26.67
Armenia,,,,2016,47.34
Armenia,,,,2015,37.43
Armenia,,,,2015,27.59
Armenia,,,,2015,48.27
Armenia,,,,2014,32.86
Armenia,,,,2014,24.7
Armenia,,,,2014,41.7
Armenia,,,,2013,33.11
Armenia,,,,2013,23.36
Armenia,,,,2013,44.07
Armenia,,,,2012,35.02
Armenia,,,,2012,26.87
Armenia,,,,2012,43.9
Armenia,,,,2011,38.29
Armenia,,,,2011,27.87
Armenia,,,,2011,49.74
Armenia,,,,2010,39.42
Armenia,,,,2010,27.71
Armenia,,,,2010,53.2
Armenia,,,,2009,39.28
Armenia,,,,2009,29.13
Armenia,,,,2009,50.91
Armenia,,,,2008,26.78
Armenia,,,,2008,20.1
Armenia,,,,2008,35.04
Armenia,,,,2007,36
Armenia,,,,2007,27.75
Armenia,,,,2007,46.12
Antigua and Barbuda,,,,2023,11.75
Antigua and Barbuda,,,,2023,11.13
Antigua and Barbuda,,,,2023,12.39
Antigua and Barbuda,,,,2018,7.2
Antigua and Barbuda,,,,2018,5.58
Antigua and Barbuda,,,,2018,8.69
Australia,,,,2020,46.57
Australia,,,,2020,35.8
Australia,,,,2020,58.59
Australia,,,,2019,44.07
Australia,,,,2019,32.58
Australia,,,,2019,56.97
Australia,,,,2018,46.51
Australia,,,,2018,35.16
Australia,,,,2018,59.33
Australia,,,,2017,45.85
Australia,,,,2017,34.13
Australia,,,,2017,59.2
Australia,,,,2016,43.73
Australia,,,,2016,31.96
Australia,,,,2016,57.24
Australia,,,,2015,45.47
Australia,,,,2015,33.71
Australia,,,,2015,59.12
Australia,,,,2014,43.5
Australia,,,,2014,31.31
Australia,,,,2014,57.8
Australia,,,,2013,45.9
Australia,,,,2013,34.38
Australia,,,,2013,59.48
Australia,,,,2012,46.46
Australia,,,,2012,34.72
Australia,,,,2012,60.4
Australia,,,,2011,42.87
Australia,,,,2011,30.95
Australia,,,,2011,57.12
Australia,,,,2010,43.68
Australia,,,,2010,31.89
Australia,,,,2010,57.87
Australia,,,,2009,43.93
Australia,,,,2009,32.31
Australia,,,,2009,57.79
Australia,,,,2008,41.72
Australia,,,,2008,29.7
Australia,,,,2008,56.28
Australia,,,,2007,45.41
Australia,,,,2007,33.91
Australia,,,,2007,59.43
Australia,,,,2006,43.35
Australia,,,,2006,31.54
Australia,,,,2006,57.74
Australia,,,,2005,41.44
Australia,,,,2005,29.15
Australia,,,,2005,56.51
Australia,,,,2004,42.77
Australia,,,,2004,30.77
Australia,,,,2004,57.7
Australia,,,,2003,41.39
Australia,,,,2003,28.85
Australia,,,,2003,56.89
Australia,,,,2002,42.23
Australia,,,,2002,29.82
Australia,,,,2002,57.72
Australia,,,,2001,42.78
Australia,,,,2001,30.79
Australia,,,,2001,57.76
Australia,,,,2000,39.49
Australia,,,,2000,27.36
Australia,,,,2000,54.88
Australia,,,,1999,39.35
Australia,,,,1999,26.97
Australia,,,,1999,55.36
Australia,,,,1998,39.4
Australia,,,,1998,27.1
Australia,,,,1998,55.38
Australia,,,,1997,39.48
Australia,,,,1997,27.24
Australia,,,,1997,55.5
Australia,,,,1996,41.31
Australia,,,,1996,29.49
Australia,,,,1996,56.85
Australia,,,,1995,39.2
Australia,,,,1995,27.17
Australia,,,,1995,55.13
Australia,,,,1994,38.7
Australia,,,,1994,26.8
Australia,,,,1994,54.72
Australia,,,,1993,39.83
Australia,,,,1993,28.27
Australia,,,,1993,55.5
Australia,,,,1992,37.59
Australia,,,,1992,25.91
Australia,,,,1992,53.5
Australia,,,,1991,38.65
Australia,,,,1991,27.3
Australia,,,,1991,54.33
Austria,,,,2023,49.93
Austria,,,,2023,36.89
Austria,,,,2023,64.54
Austria,,,,2022,49.3
Austria,,,,2022,35.82
Austria,,,,2022,64.49
Austria,,,,2021,49.28
Austria,,,,2021,35.4
Austria,,,,2021,65.03
Austria,,,,2020,47.85
Austria,,,,2020,34.08
Austria,,,,2020,63.34
Austria,,,,2019,43.9
Austria,,,,2019,29.14
Austria,,,,2019,60.59
Austria,,,,2018,44.79
Austria,,,,2018,30.57
Austria,,,,2018,60.9
Austria,,,,2017,45.37
Austria,,,,2017,31.12
Austria,,,,2017,61.37
Austria,,,,2016,44.51
Austria,,,,2016,30.06
Austria,,,,2016,60.76
Austria,,,,2015,44.66
Austria,,,,2015,30.32
Austria,,,,2015,60.75
Austria,,,,2014,43.36
Austria,,,,2014,28.87
Austria,,,,2014,59.6
Austria,,,,2013,42.62
Austria,,,,2013,28.4
Austria,,,,2013,58.72
Austria,,,,2012,42.08
Austria,,,,2012,27.54
Austria,,,,2012,58.55
Austria,,,,2011,40.78
Austria,,,,2011,26.59
Austria,,,,2011,56.99
Austria,,,,2010,41.35
Austria,,,,2010,27.53
Austria,,,,2010,57.22
Austria,,,,2009,41.43
Austria,,,,2009,28.01
Austria,,,,2009,56.88
Austria,,,,2008,36.78
Austria,,,,2008,22.72
Austria,,,,2008,53.38
Austria,,,,2007,37.15
Austria,,,,2007,23.24
Austria,,,,2007,53.76
Austria,,,,2006,36.55
Austria,,,,2006,22.67
Austria,,,,2006,53.14
Austria,,,,2005,36.4
Austria,,,,2005,22.89
Austria,,,,2005,52.61
Austria,,,,2004,34.05
Austria,,,,2004,20.39
Austria,,,,2004,50.69
Austria,,,,2003,24.54
Austria,,,,2003,10.28
Austria,,,,2003,42
Austria,,,,2002,25.13
Austria,,,,2002,10.9
Austria,,,,2002,42.39
Austria,,,,2001,23.76
Austria,,,,2001,10.07
Austria,,,,2001,41.04
Austria,,,,2000,24.09
Austria,,,,2000,10.54
Austria,,,,2000,41.3
Austria,,,,1999,23.81
Austria,,,,1999,10.9
Austria,,,,1999,40.3
Austria,,,,1998,23.79
Austria,,,,1998,11.25
Austria,,,,1998,39.86
Austria,,,,1997,18.26
Austria,,,,1997,9.79
Austria,,,,1997,29.22
Austria,,,,1996,20.14
Austria,,,,1996,11.99
Austria,,,,1996,30.74
Austria,,,,1995,20.51
Austria,,,,1995,12.42
Austria,,,,1995,31.14
Azerbaijan,,,,2022,19.29
Azerbaijan,,,,2022,14.9
Azerbaijan,,,,2022,24.08
Azerbaijan,,,,2021,19.42
Azerbaijan,,,,2021,14.96
Azerbaijan,,,,2021,24.3
Azerbaijan,,,,2020,19.62
Azerbaijan,,,,2020,15.14
Azerbaijan,,,,2020,24.58
Azerbaijan,,,,2019,19.42
Azerbaijan,,,,2019,15.03
Azerbaijan,,,,2019,24.26
Azerbaijan,,,,2018,19.15
Azerbaijan,,,,2018,14.72
Azerbaijan,,,,2018,23.91
Azerbaijan,,,,2017,18.9
Azerbaijan,,,,2017,14.43
Azerbaijan,,,,2017,23.73
Azerbaijan,,,,2016,18.71
Azerbaijan,,,,2016,14.28
Azerbaijan,,,,2016,23.47
Azerbaijan,,,,2015,18.63
Azerbaijan,,,,2015,14.21
Azerbaijan,,,,2015,23.33
Azerbaijan,,,,2013,18.42
Azerbaijan,,,,2013,14.26
Azerbaijan,,,,2013,22.87
Azerbaijan,,,,2012,18.58
Azerbaijan,,,,2012,15.04
Azerbaijan,,,,2012,22.35
Azerbaijan,,,,2011,17.14
Azerbaijan,,,,2011,13.8
Azerbaijan,,,,2011,20.68
Azerbaijan,,,,2010,23.75
Azerbaijan,,,,2010,19.23
Azerbaijan,,,,2010,28.54
Azerbaijan,,,,2009,23.05
Azerbaijan,,,,2009,18.56
Azerbaijan,,,,2009,27.83
Azerbaijan,,,,2008,25.69
Azerbaijan,,,,2008,22.71
Azerbaijan,,,,2008,28.85
Azerbaijan,,,,2007,25.43
Azerbaijan,,,,2007,22.26
Azerbaijan,,,,2007,28.81
Azerbaijan,,,,2006,25.18
Azerbaijan,,,,2006,22.03
Azerbaijan,,,,2006,28.55
Azerbaijan,,,,2005,25.38
Azerbaijan,,,,2005,22.22
Azerbaijan,,,,2005,28.77
Azerbaijan,,,,2004,25.17
Azerbaijan,,,,2004,22.02
Azerbaijan,,,,2004,28.56
Azerbaijan,,,,2003,24.97
Azerbaijan,,,,2003,21.61
Azerbaijan,,,,2003,28.61
Azerbaijan,,,,2002,25.46
Azerbaijan,,,,2002,21.38
Azerbaijan,,,,2002,29.9
Azerbaijan,,,,2001,26.06
Azerbaijan,,,,2001,21.69
Azerbaijan,,,,2001,30.84
Azerbaijan,,,,2000,25.59
Azerbaijan,,,,2000,21.7
Azerbaijan,,,,2000,29.86
Burundi,,,,2014,26.76
Burundi,,,,2014,26.66
Burundi,,,,2014,26.85
Belgium,,,,2023,42.44
Belgium,,,,2023,30.31
Belgium,,,,2023,56.02
Belgium,,,,2022,41.62
Belgium,,,,2022,29.37
Belgium,,,,2022,55.36
Belgium,,,,2021,41.67
Belgium,,,,2021,28.8
Belgium,,,,2021,56.22
Belgium,,,,2020,45.69
Belgium,,,,2020,33.78
Belgium,,,,2020,59.25
Belgium,,,,2019,40.61
Belgium,,,,2019,26.52
Belgium,,,,2019,56.59
Belgium,,,,2018,38.35
Belgium,,,,2018,25.29
Belgium,,,,2018,53.21
Belgium,,,,2017,39.08
Belgium,,,,2017,25.66
Belgium,,,,2017,54.71
Belgium,,,,2016,39.07
Belgium,,,,2016,25.11
Belgium,,,,2016,55.31
Belgium,,,,2015,40.27
Belgium,,,,2015,26.51
Belgium,,,,2015,56.09
Belgium,,,,2014,40.03
Belgium,,,,2014,26.34
Belgium,,,,2014,55.85
Belgium,,,,2013,40.68
Belgium,,,,2013,26.81
Belgium,,,,2013,57.03
Belgium,,,,2012,39.94
Belgium,,,,2012,26.09
Belgium,,,,2012,56.55
Belgium,,,,2011,39.49
Belgium,,,,2011,25.69
Belgium,,,,2011,56.08
Belgium,,,,2010,39.06
Belgium,,,,2010,25.25
Belgium,,,,2010,55.77
Belgium,,,,2009,39.17
Belgium,,,,2009,26.55
Belgium,,,,2009,54.56
Belgium,,,,2008,38.14
Belgium,,,,2008,24.76
Belgium,,,,2008,54.72
Belgium,,,,2007,38.55
Belgium,,,,2007,25.73
Belgium,,,,2007,54.72
Belgium,,,,2006,38.88
Belgium,,,,2006,25.85
Belgium,,,,2006,55.53
Belgium,,,,2005,39.38
Belgium,,,,2005,26.97
Belgium,,,,2005,55.4
Belgium,,,,2004,39.74
Belgium,,,,2004,26.68
Belgium,,,,2004,56.79
Belgium,,,,2003,39.16
Belgium,,,,2003,27.13
Belgium,,,,2003,55.14
Belgium,,,,2002,39.11
Belgium,,,,2002,27.82
Belgium,,,,2002,54.4
Belgium,,,,2001,40.22
Belgium,,,,2001,29.18
Belgium,,,,2001,55.39
Belgium,,,,2000,39.6
Belgium,,,,2000,27.35
Belgium,,,,2000,56.32
Belgium,,,,1999,38
Belgium,,,,1999,25.97
Belgium,,,,1999,54.49
Belgium,,,,1998,25.13
Belgium,,,,1998,12.35
Belgium,,,,1998,43.41
Belgium,,,,1997,22.93
Belgium,,,,1997,10.19
Belgium,,,,1997,41.5
Belgium,,,,1996,23.42
Belgium,,,,1996,11.01
Belgium,,,,1996,41.93
Belgium,,,,1995,24.74
Belgium,,,,1995,12.91
Belgium,,,,1995,42.44
Belgium,,,,1994,28.57
Belgium,,,,1994,17.72
Belgium,,,,1994,44.91
Belgium,,,,1993,22.63
Belgium,,,,1993,10.66
Belgium,,,,1993,40.63
Belgium,,,,1992,20.51
Belgium,,,,1992,8.68
Belgium,,,,1992,38.74
Belgium,,,,1991,19.55
Belgium,,,,1991,8.05
Belgium,,,,1991,37.99
Belgium,,,,1990,18.24
Belgium,,,,1990,7.5
Belgium,,,,1990,36.19
Belgium,,,,1989,17.64
Belgium,,,,1989,7.11
Belgium,,,,1989,35.73
Belgium,,,,1988,17.53
Belgium,,,,1988,7.64
Belgium,,,,1988,34.75
Belgium,,,,1987,17.48
Belgium,,,,1987,7.78
Belgium,,,,1987,34.92
Belgium,,,,1986,17.62
Belgium,,,,1986,8.59
Belgium,,,,1986,34.04
Belgium,,,,1985,17.05
Belgium,,,,1985,8.2
Belgium,,,,1985,33.44
Belgium,,,,1984,17.39
Belgium,,,,1984,8.84
Belgium,,,,1984,33.38
Belgium,,,,1983,18.65
Belgium,,,,1983,11.1
Belgium,,,,1983,33.1
Benin,,,,2011,27.45
Benin,,,,2011,21.35
Benin,,,,2011,33.16
Benin,,,,2010,25.31
Benin,,,,2010,20.21
Benin,,,,2010,29.88
Burkina Faso,,,,2024,19.88
Burkina Faso,,,,2024,16.79
Burkina Faso,,,,2024,23.05
Burkina Faso,,,,2014,23.62
Burkina Faso,,,,2014,20.43
Burkina Faso,,,,2014,27.18
Bangladesh,,,,2023,18.08
Bangladesh,,,,2023,10.64
Bangladesh,,,,2023,32.18
Bangladesh,,,,2023,0
Bangladesh,,,,2022,17.48
Bangladesh,,,,2022,13.16
Bangladesh,,,,2022,25.41
Bangladesh,,,,2017,20.44
Bangladesh,,,,2017,11.21
Bangladesh,,,,2017,41.32
Bangladesh,,,,2016,18.69
Bangladesh,,,,2016,9.82
Bangladesh,,,,2016,39.54
Bangladesh,,,,2013,18.41
Bangladesh,,,,2013,13.84
Bangladesh,,,,2013,29.59
Bangladesh,,,,2006,24.53
Bangladesh,,,,2006,10.86
Bangladesh,,,,2006,68.25
Bulgaria,,,,2023,12.57
Bulgaria,,,,2023,10.43
Bulgaria,,,,2023,14.99
Bulgaria,,,,2022,11.93
Bulgaria,,,,2022,10.04
Bulgaria,,,,2022,14.08
Bulgaria,,,,2021,11.32
Bulgaria,,,,2021,9.34
Bulgaria,,,,2021,13.58
Bulgaria,,,,2020,13.53
Bulgaria,,,,2020,11.36
Bulgaria,,,,2020,16.03
Bulgaria,,,,2019,11.23
Bulgaria,,,,2019,9.38
Bulgaria,,,,2019,13.33
Bulgaria,,,,2018,11.62
Bulgaria,,,,2018,9.56
Bulgaria,,,,2018,13.99
Bulgaria,,,,2017,10.96
Bulgaria,,,,2017,9.35
Bulgaria,,,,2017,12.8
Bulgaria,,,,2016,9.6
Bulgaria,,,,2016,7.65
Bulgaria,,,,2016,11.82
Bulgaria,,,,2015,10.51
Bulgaria,,,,2015,8.37
Bulgaria,,,,2015,12.93
Bulgaria,,,,2014,10.64
Bulgaria,,,,2014,8.52
Bulgaria,,,,2014,13.02
Bulgaria,,,,2013,10.19
Bulgaria,,,,2013,8.41
Bulgaria,,,,2013,12.17
Bulgaria,,,,2012,10.03
Bulgaria,,,,2012,7.87
Bulgaria,,,,2012,12.42
Bulgaria,,,,2011,11.02
Bulgaria,,,,2011,9.2
Bulgaria,,,,2011,13.07
Bulgaria,,,,2010,11.6
Bulgaria,,,,2010,10.27
Bulgaria,,,,2010,13.13
Bulgaria,,,,2009,12.02
Bulgaria,,,,2009,10.08
Bulgaria,,,,2009,14.23
Bulgaria,,,,2008,9.07
Bulgaria,,,,2008,7.04
Bulgaria,,,,2008,11.39
Bulgaria,,,,2007,8.95
Bulgaria,,,,2007,7.02
Bulgaria,,,,2007,11.16
Bulgaria,,,,2006,9.73
Bulgaria,,,,2006,7.68
Bulgaria,,,,2006,12.05
Bulgaria,,,,2005,9.42
Bulgaria,,,,2005,7.53
Bulgaria,,,,2005,11.58
Bulgaria,,,,2004,14.14
Bulgaria,,,,2004,11.94
Bulgaria,,,,2004,16.64
Bulgaria,,,,2003,12.03
Bulgaria,,,,2003,10.04
Bulgaria,,,,2003,14.28
Bulgaria,,,,2002,5.9
Bulgaria,,,,2002,4.37
Bulgaria,,,,2002,7.59
Bulgaria,,,,2001,6.56
Bulgaria,,,,2001,4.62
Bulgaria,,,,2001,8.68
Bulgaria,,,,2000,6.65
Bulgaria,,,,2000,4.97
Bulgaria,,,,2000,8.57
Bahamas,,,,2019,14.12
Bahamas,,,,2019,12.52
Bahamas,,,,2019,15.84
Bosnia and Herzegovina,,,,2023,5.94
Bosnia and Herzegovina,,,,2023,5.44
Bosnia and Herzegovina,,,,2023,6.68
Bosnia and Herzegovina,,,,2022,5.55
Bosnia and Herzegovina,,,,2022,5.04
Bosnia and Herzegovina,,,,2022,6.3
Bosnia and Herzegovina,,,,2021,5.37
Bosnia and Herzegovina,,,,2021,4.56
Bosnia and Herzegovina,,,,2021,6.62
Bosnia and Herzegovina,,,,2020,11.6
Bosnia and Herzegovina,,,,2020,9.32
Bosnia and Herzegovina,,,,2020,15.26
Bosnia and Herzegovina,,,,2019,11.77
Bosnia and Herzegovina,,,,2019,10.22
Bosnia and Herzegovina,,,,2019,14.26
Bosnia and Herzegovina,,,,2018,12.64
Bosnia and Herzegovina,,,,2018,11.18
Bosnia and Herzegovina,,,,2018,15.09
Bosnia and Herzegovina,,,,2017,13.2
Bosnia and Herzegovina,,,,2017,11.75
Bosnia and Herzegovina,,,,2017,15.59
Bosnia and Herzegovina,,,,2016,10.33
Bosnia and Herzegovina,,,,2016,8.52
Bosnia and Herzegovina,,,,2016,13.58
Bosnia and Herzegovina,,,,2015,14.76
Bosnia and Herzegovina,,,,2015,12.58
Bosnia and Herzegovina,,,,2015,18.42
Bosnia and Herzegovina,,,,2014,12.21
Bosnia and Herzegovina,,,,2014,10.88
Bosnia and Herzegovina,,,,2014,14.47
Bosnia and Herzegovina,,,,2013,12.6
Bosnia and Herzegovina,,,,2013,11.5
Bosnia and Herzegovina,,,,2013,14.46
Bosnia and Herzegovina,,,,2012,14.07
Bosnia and Herzegovina,,,,2012,12.43
Bosnia and Herzegovina,,,,2012,16.88
Bosnia and Herzegovina,,,,2011,13.8
Bosnia and Herzegovina,,,,2011,11.87
Bosnia and Herzegovina,,,,2011,17.08
Bosnia and Herzegovina,,,,2010,14.11
Bosnia and Herzegovina,,,,2010,11.82
Bosnia and Herzegovina,,,,2010,18.02
Bosnia and Herzegovina,,,,2009,14.57
Bosnia and Herzegovina,,,,2009,12.55
Bosnia and Herzegovina,,,,2009,17.99
Bosnia and Herzegovina,,,,2008,14.23
Bosnia and Herzegovina,,,,2008,12.19
Bosnia and Herzegovina,,,,2008,17.92
Bosnia and Herzegovina,,,,2007,14.82
Bosnia and Herzegovina,,,,2007,14.09
Bosnia and Herzegovina,,,,2007,16.22
Bosnia and Herzegovina,,,,2006,16.59
Bosnia and Herzegovina,,,,2006,15.78
Bosnia and Herzegovina,,,,2006,18.09
Bosnia and Herzegovina,,,,2001,22.05
Bosnia and Herzegovina,,,,2001,19.54
Bosnia and Herzegovina,,,,2001,26.71
Belarus,,,,2023,14.1
Belarus,,,,2023,7.57
Belarus,,,,2023,20.55
Belarus,,,,2022,15.23
Belarus,,,,2022,8.42
Belarus,,,,2022,21.96
Belarus,,,,2021,15.59
Belarus,,,,2021,8.89
Belarus,,,,2021,22.16
Belarus,,,,2020,16.9
Belarus,,,,2020,9.65
Belarus,,,,2020,24.25
Belarus,,,,2019,15.57
Belarus,,,,2019,7.37
Belarus,,,,2019,23.78
Belarus,,,,2018,15.83
Belarus,,,,2018,7.96
Belarus,,,,2018,23.77
Belarus,,,,2017,16.85
Belarus,,,,2017,8.44
Belarus,,,,2017,25.09
Belarus,,,,2016,17.82
Belarus,,,,2016,10.02
Belarus,,,,2016,25.42
Belize,,,,2019,27.06
Belize,,,,2019,22.75
Belize,,,,2019,33.75
Belize,,,,2018,19.8
Belize,,,,2018,16.88
Belize,,,,2018,24.41
Bermuda,,,,2010,12.26
Bermuda,,,,2010,9.06
Bermuda,,,,2010,15.47
Bermuda,,,,2009,11.69
Bermuda,,,,2009,8.04
Bermuda,,,,2009,15.2
Bolivia (Plurinational State of),,,,2023,38.49
Bolivia (Plurinational State of),,,,2023,28.88
Bolivia (Plurinational State of),,,,2023,49.14
Bolivia (Plurinational State of),,,,2022,37.82
Bolivia (Plurinational State of),,,,2022,28.32
Bolivia (Plurinational State of),,,,2022,48.64
Bolivia (Plurinational State of),,,,2021,36.74
Bolivia (Plurinational State of),,,,2021,27.36
Bolivia (Plurinational State of),,,,2021,47.44
Bolivia (Plurinational State of),,,,2009,31.48
Bolivia (Plurinational State of),,,,2009,24.1
Bolivia (Plurinational State of),,,,2009,40.6
Bolivia (Plurinational State of),,,,2004,33.11
Bolivia (Plurinational State of),,,,2004,26.63
Bolivia (Plurinational State of),,,,2004,40.91
Bolivia (Plurinational State of),,,,2002,32.67
Bolivia (Plurinational State of),,,,2002,26.33
Bolivia (Plurinational State of),,,,2002,40.91
Bolivia (Plurinational State of),,,,2001,37.43
Bolivia (Plurinational State of),,,,2001,29.88
Bolivia (Plurinational State of),,,,2001,46.56
Bolivia (Plurinational State of),,,,2000,26.69
Bolivia (Plurinational State of),,,,2000,20.99
Bolivia (Plurinational State of),,,,2000,33.98
Bolivia (Plurinational State of),,,,1999,30.61
Bolivia (Plurinational State of),,,,1999,25.95
Bolivia (Plurinational State of),,,,1999,36.53
Brazil,,,,2024,25.18
Brazil,,,,2024,19.49
Brazil,,,,2024,32.71
Brazil,,,,2023,25.55
Brazil,,,,2023,19.72
Brazil,,,,2023,33.28
Brazil,,,,2022,25.79
Brazil,,,,2022,19.88
Brazil,,,,2022,33.7
Brazil,,,,2021,26.64
Brazil,,,,2021,20.26
Brazil,,,,2021,35.51
Brazil,,,,2020,33.97
Brazil,,,,2020,27.18
Brazil,,,,2020,43.4
Brazil,,,,2019,28.32
Brazil,,,,2019,21.84
Brazil,,,,2019,36.94
Brazil,,,,2018,28.49
Brazil,,,,2018,22.05
Brazil,,,,2018,37.1
Brazil,,,,2017,27.14
Brazil,,,,2017,20.77
Brazil,,,,2017,35.73
Brazil,,,,2016,24.94
Brazil,,,,2016,18.72
Brazil,,,,2016,33.48
Brazil,,,,2015,25.92
Brazil,,,,2015,19.23
Brazil,,,,2015,35.11
Brazil,,,,2014,25.35
Brazil,,,,2014,18.68
Brazil,,,,2014,34.6
Brazil,,,,2013,25.76
Brazil,,,,2013,18.92
Brazil,,,,2013,35.33
Brazil,,,,2012,26.98
Brazil,,,,2012,20.12
Brazil,,,,2012,36.63
Brunei Darussalam,,,,2023,9
Brunei Darussalam,,,,2023,7.64
Brunei Darussalam,,,,2023,11.04
Brunei Darussalam,,,,2022,7.95
Brunei Darussalam,,,,2022,6.64
Brunei Darussalam,,,,2022,9.96
Brunei Darussalam,,,,2021,11.31
Brunei Darussalam,,,,2021,8.49
Brunei Darussalam,,,,2021,15.57
Brunei Darussalam,,,,2020,15.14
Brunei Darussalam,,,,2020,12.71
Brunei Darussalam,,,,2020,19
Brunei Darussalam,,,,2019,10.85
Brunei Darussalam,,,,2019,8.82
Brunei Darussalam,,,,2019,14.07
Brunei Darussalam,,,,2018,11.48
Brunei Darussalam,,,,2018,9.22
Brunei Darussalam,,,,2018,14.73
Brunei Darussalam,,,,2017,9.63
Brunei Darussalam,,,,2017,8.57
Brunei Darussalam,,,,2017,10.96
Brunei Darussalam,,,,2014,13.97
Brunei Darussalam,,,,2014,11.53
Brunei Darussalam,,,,2014,17.23
Bhutan,,,,2022,5.67
Bhutan,,,,2022,3.9
Bhutan,,,,2022,8.02
Bhutan,,,,2021,7.33
Bhutan,,,,2021,4.55
Bhutan,,,,2021,10.35
Bhutan,,,,2020,10.99
Bhutan,,,,2020,7.27
Bhutan,,,,2020,14.97
Bhutan,,,,2019,9.15
Bhutan,,,,2019,6.51
Bhutan,,,,2019,12.14
Bhutan,,,,2018,10.49
Bhutan,,,,2018,8.71
Bhutan,,,,2018,12.65
Bhutan,,,,2015,7.9
