"y1" "y2" "x1" "x2" "x3" "X1" "X2"
"46" 0.19 1.66 0.24 -0.02 0.21 -0.63 1.04
"47" 0.9 1.43 0.02 -0.09 0.03 0.94 1.25
"48" 1.14 1.52 0.27 0 0 0.57 0.08
"49" 0.07 0.93 -0.15 0.09 -0.16 0.02 0.41
"50" 0.44 0.6 0.33 0.08 -0.02 -1 1.44
"51" 1.21 2.51 0.06 -0.08 -0.11 0.14 0.57
"52" 0.15 0.98 -0.07 -0.02 0.05 0.02 1.69
"53" 0.84 1.47 0.28 0 0.01 -0.44 1.17
"54" 1.16 1.08 -0.2 0.02 0.03 0.78 0.29
"55" 0.02 0.28 0.15 -0.19 0.07 -1.37 -0.47
"56" -0.39 -0.78 0.08 0.02 0.07 0.09 -0.68
"57" -0.89 -2.44 -0.05 -0.01 -0.05 2.06 0.32
"58" 0.51 1.08 0.07 0 -0.06 -0.28 -1.7
"59" -1.46 -1.97 0.13 0.05 0.07 0.3 0.12
"60" 1.29 1.25 -0.03 0.06 -0.06 -0.74 1.39
"61" -1.28 -0.33 0.05 -0.07 0.13 0.72 0.85
"62" -1.91 -3.39 -0.15 -0.11 -0.15 0.19 -0.76
"63" -0.27 0.25 0.07 -0.01 -0.09 -0.01 0.26
"64" -0.06 1.28 0.16 0.18 0.07 -1.83 -1.01
"65" -0.98 0.7 -0.02 -0.14 0 1.04 -0.49
"66" -1.94 -1.94 -0.17 0.05 -0.13 0.09 -1.16
"67" 0.34 1.88 -0.03 0.08 0.02 0.96 -1.34
"68" -1.85 -1.25 -0.05 -0.02 0.03 -0.21 -1.71
"69" -0.26 -2.29 0.33 0.08 0.06 0.84 -0.21
"70" -0.96 0.05 -0.28 -0.05 -0.01 0.71 0.36
"71" 0.55 -0.4 0.03 0.21 0.02 -1.08 0.59
"72" 0.7 0.36 0.17 0.04 -0.02 0.95 2
"73" -0.18 0.8 0.03 0.09 -0.15 0.38 0.7
"74" -0.9 -0.57 -0.07 0.04 -0.07 1.1 0.43
"75" -2.04 -2.43 0.19 -0.17 -0.01 1.68 1.63
"76" 0.24 0.12 -0.11 -0.02 0.02 -0.85 -0.2
"77" 1.02 1.87 -0.02 -0.15 -0.14 0.95 0.35
"78" 1.1 0.58 -0.17 0.14 0.01 0.17 1.42
"79" -0.38 -0.21 -0.18 -0.07 -0.15 -0.65 0.64
"80" -0.94 1.24 0.06 0.18 0.04 0.95 -0.43
"81" 0.1 0.26 0.09 0.07 0.08 -0.37 -1.26
"82" -0.89 0.93 0.14 0 0.11 -0.33 1.09
"83" 1.71 1.35 0.12 0.1 0.15 0.43 -1.56
"84" -0.26 0.51 -0.17 -0.06 -0.14 0.41 0.9
"85" -1.35 -0.63 -0.35 -0.12 -0.04 -0.79 -0.52
"86" -0.93 -0.64 -0.19 -0.13 -0.08 -1.63 2.15
"87" -0.16 -0.91 0.31 -0.03 0.09 0.93 -2.3
"88" -0.72 1.25 -0.17 0.03 -0.03 0.3 -0.7
"89" 0.32 0.14 -0.17 0.01 -0.15 -1.65 -0.85
"90" 0.5 1.87 -0.09 -0.05 -0.06 -0.89 1.09
"91" 0.04 0.07 0.15 -0.06 -0.02 0.3 1.29
"92" 0.16 -0.58 -0.18 -0.12 0.1 0.99 -0.7
"93" -1.16 -2.35 -0.16 0.07 0.06 -2.75 -0.1
"94" -0.03 -1.84 -0.11 -0.06 0 0.54 -1.54
"95" 0.5 0.57 0.08 0.02 0.01 1.99 0.68
"96" -0.7 -0.17 -0.17 -0.11 0.19 1.48 1.43
"97" 2.19 0.58 0.05 -0.18 0 -2.26 0.37
"98" -0.93 -0.98 -0.02 0.05 0.02 -0.6 0
"99" -0.39 -1.53 -0.26 -0.01 -0.03 -0.15 0.72
"100" -1.32 -3.01 -0.17 -0.05 -0.06 -0.77 1.28
"101" -0.12 -0.69 0.48 -0.09 -0.08 -1.05 0.12
"102" 1.21 0.04 0.11 0.02 -0.06 -0.04 -1.49
"103" -0.18 0 0.24 -0.15 -0.14 -0.56 0.28
"104" -0.25 1.11 -0.11 0.02 -0.07 0.88 0.75
"105" 0.51 1.17 0.09 0.12 -0.03 -1.04 1.07
"106" -0.45 0 -0.17 -0.07 0.05 -0.38 -0.67
"107" 0.97 0.99 -0.05 -0.08 0.01 0.5 -1.31
"108" -0.67 0.15 -0.02 0.19 0.11 1.01 1.59
"109" 0.07 -0.71 0.02 -0.09 0.09 -0.57 -0.15
"110" -0.61 0.52 0.04 0.01 -0.02 0.63 0.6
"111" 1.15 -0.44 0.01 0.05 0 1.81 0.56
"112" 1.37 0.25 0.23 0.07 -0.06 0.85 -0.14
"113" 0.71 1.56 -0.09 0.15 0.15 -0.33 -0.35
"114" -0.66 -1.11 0.05 -0.03 -0.05 -0.65 0.58
"115" -0.23 0.12 0.12 -0.01 0 -0.18 -0.61
"116" -1.4 -0.57 0.01 -0.01 0.05 1.51 0.47
"117" -0.4 2.59 -0.33 0.14 0.29 1.48 -1.72
"118" -0.17 -0.2 0.29 0 0.04 0.96 1.54
"119" -0.61 -0.83 0.04 -0.09 0.05 -0.71 -0.2
"120" 0.94 -0.61 0.01 -0.06 0.08 -1.3 0.25
"121" -0.95 1.02 0.06 0.24 -0.16 -0.75 0.98
"122" 0.31 1.23 0.08 0.01 -0.04 0.1 -0.07
"123" -1.3 -2.91 -0.1 0 0.08 -1.17 0.36
"124" -0.46 -1.07 -0.05 0.02 -0.14 -1.28 -1.27
"125" -1.52 -2.32 0.07 -0.01 -0.15 0.42 -0.38
"126" -0.41 0.14 -0.11 -0.09 -0.05 -0.08 -1.08
"127" 0.66 0.71 -0.01 -0.01 -0.08 1.08 0.67
"128" 1.19 1.98 -0.08 0.17 -0.07 -0.9 -0.63
"129" 0.61 0.75 0.24 -0.06 0.07 0.92 0.89
"130" -0.52 -0.06 0.11 -0.03 -0.15 -0.64 -0.4
"131" -0.22 -1.73 0.03 -0.08 -0.03 0.12 0.35
"132" 0.38 -0.73 -0.15 -0.05 0 0.3 1.15
"133" 1.76 0.94 0.14 -0.18 0.03 -0.26 -0.58
"134" -0.79 -0.69 0.15 0.02 0.05 -0.52 1.41
"135" 1.27 2.18 -0.09 -0.03 0.07 -0.33 0.19
"136" 0.13 0.59 -0.08 -0.17 -0.01 -0.21 -1.62
"137" 1.04 -0.14 0.24 0.05 -0.01 -0.05 -0.38
"138" 1.54 2.55 -0.3 0.14 -0.09 1 1.61
"139" -0.74 -1.19 -0.28 -0.01 0.01 0.07 -0.42
"140" 0.75 0.63 0.26 -0.18 0.01 -0.86 -0.46
"141" 0.68 0.15 -0.34 0.11 -0.1 -0.3 0.21
"142" -1.37 -1.64 0.25 -0.1 0.04 -0.5 1.04
"143" 0.76 -1.71 0.01 0.05 0.04 1.16 0.38
"144" -0.43 0.5 0.18 0.02 0.03 0.93 0.91
"145" -1.25 -0.09 0.03 0.12 0.08 0.42 -0.25
"146" -0.32 -0.51 0.05 -0.11 0.04 1.61 0.27
"147" -0.45 -2.76 -0.07 -0.17 0.02 0.48 -1.71
"148" -0.22 -0.37 0.19 -0.03 0.2 -2.01 -1.77
"149" -0.39 -0.67 0.46 0.03 -0.11 -0.74 -0.02
"150" 0.18 -0.77 0.02 -0.08 0.03 -0.79 -0.04
"151" 0.27 0.51 0.13 0.02 -0.04 -1.04 -2.69
"152" -0.03 -0.16 -0.04 0.07 -0.07 1.12 -0.21
"153" -0.75 -2.52 0.12 -0.16 -0.11 0.04 -1.31
"154" 0.82 1.06 -0.11 -0.01 -0.01 0.23 -0.59
"155" -0.52 0.14 -0.03 -0.16 -0.04 -1.38 -1.18
"156" -0.96 -1.86 -0.13 -0.17 0.08 0.09 0.79
"157" -0.41 0.72 0.15 -0.11 0.04 2.01 1.04
"158" 0.1 1.88 0.04 0.09 0 0.99 -2.4
"159" 0.69 1.14 -0.04 -0.18 -0.17 -0.66 0.47
"160" -0.28 0.92 0 -0.1 0.11 1.21 1.94
"161" 1.07 0.83 -0.25 -0.03 0.13 1.17 0.34
"162" 0.13 0.38 0.34 0.08 -0.14 2.18 0.91
"163" -0.06 0.82 -0.13 -0.09 0.05 0.17 -0.18
"164" 1.07 -0.4 0.03 -0.02 -0.07 -0.19 -0.06
"165" -0.41 -0.47 -0.17 0.11 0.02 -0.84 0.02
"166" 0.25 -1.33 0.03 0.08 -0.08 0.33 1.98
"167" -1.54 -2.05 0.41 -0.12 -0.16 -0.53 -1.54
"168" -0.12 0.21 -0.07 -0.01 0.08 0.08 0.42
"169" 0.49 0.25 0.05 -0.07 0.13 -0.83 0.75
"170" -0.71 -2.24 0.15 -0.07 -0.06 2.35 1.28
"171" 0.03 -3.18 0.12 0.03 0.01 -0.36 -0.62
"172" -0.61 0.35 -0.03 -0.07 -0.09 -0.17 -2.26
"173" 0.2 0.49 -0.41 -0.08 0.05 0.02 0.36
"174" 2.19 1.86 0.04 0.1 -0.06 0.35 -0.41
"175" -1.04 -1.9 0.14 0.07 0.11 -0.13 -1.22
"176" 0.63 1.12 -0.3 -0.03 0.11 0.57 -0.35
"177" 0.25 1.91 0.07 -0.21 -0.06 -0.49 0.04
"178" -2.81 -3.69 0.05 -0.05 0.01 0.73 -1.83
"179" -0.31 -0.22 0.2 0.03 -0.13 0.66 0.15
"180" -0.02 0.07 0.12 0.12 0.01 0.33 -0.87
"181" 3.28 2.78 -0.22 0.21 0.11 -0.91 -2.05
"182" -0.17 0.31 -0.16 0.06 -0.15 -2.42 -1.86
"183" -1.72 -0.6 -0.19 -0.12 -0.11 -0.68 -0.26
"184" -0.08 -0.71 -0.02 0.02 0.19 1.24 1.11
"185" -0.85 -1.09 -0.08 0.11 -0.24 0.36 0.99
"186" -1.83 -2.4 -0.16 -0.1 0 1.34 0.62
"187" -0.66 -1.71 -0.06 0.03 0 1.99 -0.4
"188" -1.18 1.77 -0.07 -0.07 -0.17 -0.43 0.94
"189" -0.92 -0.67 -0.19 0.01 0.12 -1.08 -1.35
"190" 0.09 0.31 0.03 -0.04 0.06 0.38 -0.05
"191" 0.81 0.44 -0.02 -0.04 -0.03 1.19 1.38
"192" 2.33 3.67 0.23 0.17 0.05 -3.19 -2.28
"193" 0.13 1.38 -0.27 -0.01 -0.11 -0.88 -0.38
"194" -0.21 -0.75 -0.24 0.12 -0.11 0.34 1.44
"195" -1.88 -2.71 0.25 -0.25 0.01 0.4 0.45
"196" -0.37 -0.67 0.03 0.01 -0.02 0.93 0.34
"197" 0.11 -1.23 -0.09 0.1 -0.01 0.55 0.19
"198" 0.54 1.42 -0.06 0.26 -0.04 -0.05 0.92
"199" -0.84 0.28 -0.15 0.12 0.07 0.51 -0.49
"200" 1.09 3.09 0.11 0.07 0 -0.17 -1.3
