"x1" "x2" "x3" "x4" "x5" "x6" "y1" "y2" "y3"
"30" 50.46 31.28 22.51 34.58 51.95 65.23 77.04 79.65 82.3
"31" 54.38 26.7 18.92 33.01 48.88 53.47 58.22 78.25 47.19
"32" 61.06 34.52 27.31 34.9 52.29 64.71 65.05 74.15 65.18
"33" 45.31 33.8 27.52 42.05 44.71 65.82 71.93 76.09 66.85
"34" 55.7 31 26.72 36.53 40.06 63.21 69.76 78.22 69.19
"35" 51.46 36.11 33.37 34.04 47.89 75.11 79.75 81.58 75.65
"36" 42.98 28.59 20.89 38.85 47.36 79.17 78.73 82.06 82.93
"37" 52.85 28.87 18.55 42.88 69.14 98.81 71.66 88.42 89.74
"38" 54.39 31.62 22.86 37.22 53.36 69.09 76.53 83.16 82.74
"39" 53.94 34.35 25.4 33.31 50.49 63.49 71.47 77.34 57.83
"40" 58.92 29.94 22.09 35.98 42.15 55.88 71.88 82.91 70.24
"41" 44.18 25.05 11.12 33.64 43.97 46.15 67.61 77.31 49.82
"42" 52.15 34.49 26.48 35.65 50.1 62.16 73.64 78.72 83.48
"43" 52.72 30.5 21.56 36.27 61.39 72.8 73.68 79.55 70.48
"44" 51.3 33.33 27.42 34.14 39.73 58.25 69.65 81.83 63.44
"45" 57.72 37.22 29.41 35.08 48.97 58.61 71.36 86.36 64.66
"46" 46.08 31.91 19.57 38.57 47.25 58.66 82.49 88.02 72.32
"47" 55.57 35.21 24.58 34.06 48.56 53.66 74.24 85.47 85.18
"48" 57.46 35.13 26.98 36.45 54.65 59.55 77.59 81.7 73.09
"49" 48.38 31.43 22.63 33.27 42.53 68.02 75.23 77.87 75.62
"50" 48.34 26.51 15.38 36.79 51.07 54.42 81.86 80.7 79.54
"51" 54.38 34.62 28.77 34.73 60.16 66.5 78.41 83.74 89.35
"52" 47.54 29.67 20.25 33.9 39.15 58.04 78.13 85.56 79.82
"53" 51.48 30.21 21.21 36.18 53.2 59.01 83.21 83.95 78.86
"54" 58.23 32.13 28.48 34.75 40.02 65.52 72.08 82.94 76.82
"55" 46.78 27.73 16.44 35.7 56.59 69.72 74.92 85.92 53.71
"56" 49.46 29.72 18.72 36.4 43.75 56.16 65.36 78.39 53.61
"57" 52.27 28.96 19.77 29.56 29.26 41.33 60.25 75 47.71
"58" 52.84 32.55 27.92 37.3 58.01 73.2 69.85 78.09 60.99
"59" 42.99 26.35 13.94 34.12 32.84 47.06 67.02 76.74 43.11
"60" 53.86 26.12 21.84 35.78 48.84 63.43 78.46 82.42 92.74
"61" 41.97 31.69 17.98 33.59 36.56 47.31 69.95 83.24 57.61
"62" 42.92 25.03 9.27 29.54 39.62 51.1 53.66 72.79 39.21
"63" 47.03 29.51 21.08 34.93 53.17 53.63 67.73 77.95 76.01
"64" 43.76 29.56 19.08 41.72 52.11 73.58 77.02 78.41 65.66
"65" 44.29 35.18 27.36 32.95 47.12 59.2 67.91 81.72 56.03
"66" 39.84 26.8 16.83 32.84 38.37 57.98 57.49 71.32 46.01
"67" 52.83 37.82 34.01 37.57 47.15 69.46 70.83 78.93 64.91
"68" 39.56 30.37 16.79 35.55 43.51 61.02 59.43 75.81 39.85
"69" 54.44 26.45 16.87 35.36 39.18 41.1 64.81 74.68 45.34
"70" 43.73 31.2 22.59 32.31 36.87 58.04 65.38 80.87 67.26
"71" 51.53 24.7 13.98 37.2 36.23 64.17 77.43 78.17 67.87
"72" 55.13 31.21 20.05 32.24 36.26 50.81 82.72 82.4 72.39
"73" 47.35 31.75 22.94 33.75 45.43 57.66 74.51 76.78 77.54
"74" 46.46 31.71 20.7 31.57 33.73 53.79 69.4 76.95 58.21
"75" 41.41 27.88 13.52 27.57 32.83 31.5 67.18 79.99 43.65
"76" 49.67 27.96 17.85 36.65 49.64 64.45 66.67 80.97 73.43
"77" 56.18 35.01 30.97 31.98 56.01 65 75.11 83.42 79.51
"78" 56.23 29.55 20.02 34.58 32.54 62.53 77.94 81.74 81.78
"79" 45.03 26.78 15.5 32.15 47.98 62.14 68.31 79.55 75.73
"80" 43.6 37.32 27.27 38.16 41.77 54.41 69.15 76.06 69.08
"81" 50.64 30.92 22.51 39.42 50.69 62.79 66.15 78.11 61.78
"82" 39.45 29.79 19.55 35.98 41.92 55.64 78.97 84.38 66.99
"83" 63.56 36.31 29.65 40.37 48.7 70.7 72.71 81.03 61.35
"84" 46.98 30.53 22.03 31.19 44.31 59.93 71.17 80.32 77.05
"85" 39.27 27.68 15.2 32.27 41.25 70.68 64.3 81.04 54.58
"86" 37.7 22.01 5.97 30.88 42.31 59.14 74.34 84.5 77.32
"87" 55.23 33.28 25.66 37.57 51.99 55.08 61.2 76.13 36.51
"88" 43.49 33.89 27.77 35.45 45.13 67.57 68.7 79.1 66.86
"89" 48.96 27.34 15.45 35.7 54.77 76.88 68.5 77.33 71.13
"90" 46.97 30.03 21.06 34.72 52.42 68.73 78.81 84.85 88.35
"91" 49.26 27.56 20.65 33.4 47.53 48.82 73.26 81.9 74.33
"92" 55.53 32.39 23.24 33.82 40.72 59.31 61.46 82.54 55.1
"93" 38.64 18.13 0.49 36.69 37.63 66 65.89 78.2 53.2
"94" 55.86 28.08 20.56 33.81 42.62 60.63 57.5 76.62 44.36
"95" 56.98 34.96 29.25 33.09 38.11 50.46 73.37 80.58 67.21
"96" 47.07 31.59 22.3 32.4 29.57 45.54 67.67 86.82 65.79
"97" 59.63 23.73 13.5 37.2 67.11 71.1 73.42 87.1 86.81
"98" 43.23 26.97 13.36 35.77 41.36 55.67 66.05 77.57 60.94
"99" 48.4 24.05 13.96 32.81 37.66 52.92 61 78.59 71.91
"100" 41.93 19.1 4.28 30.83 35.32 46.22 60.91 77.59 61.99
"101" 47.65 25.21 13.53 36.08 65.44 48.8 70.58 77.99 65.12
"102" 60.9 32.76 22.18 36.09 51.99 71.76 71.3 77.53 53.7
"103" 46.94 28.08 17.23 32.55 58.4 59.65 75.02 80.53 61.94
"104" 47.29 33.05 26.63 32.61 39.71 60.47 74.77 80.51 73.34
"105" 48.33 29.5 16.44 36.75 46.63 64.57 81.76 80.94 81.53
"106" 46.27 29.92 19.91 35.32 44.94 66.75 65.86 81.71 59.61
"107" 58.29 35.47 27.98 36.27 54.41 68.72 66.33 81.46 65.52
"108" 45.58 31.87 20 34.54 22.8 49.75 77.61 80.49 66.62
"109" 50.65 27.41 15.23 35.43 45.81 60.62 68.41 82.9 57.22
"110" 45.52 33.18 21.61 33.56 41.37 55.67 73.92 80.36 65.67
"111" 63.43 31.94 25.79 32.62 34.6 52.23 70.88 79.5 64.4
"112" 62.6 33.75 23.63 35 47.46 59.16 75.61 77.68 63.85
"113" 51.9 31.5 26.71 40.7 43.78 66.47 71.3 81.67 79.49
"114" 44.6 24.44 13 33.88 45.86 52.89 67.75 78.53 65.12
"115" 48.15 30.27 21.39 36.31 51.01 60.21 68.96 78.88 60.56
"116" 43.6 32.62 22.35 31.95 31.15 48.53 69.55 79.88 49.84
"117" 47.61 41.89 38.68 42.34 39.29 63.51 58.84 81.42 76.59
"118" 49.95 30.4 19.37 34.02 42.74 39.69 74.18 81 69.99
"119" 45.39 27.09 14.11 35.85 50.43 55.11 63.88 80.65 61.92
"120" 54.93 25.1 11.93 35.42 44.9 68.19 75.12 84.76 59.78
"121" 38.16 30.46 16.71 35.61 41.64 61.7 80.48 74.44 78.62
"122" 50.24 31.95 26.23 36.11 52.63 61.74 72.81 80.06 74.67
"123" 42.2 21.02 3.11 34.47 34.49 50.78 60.89 78.25 52.19
"124" 46.56 25.97 13.89 35.62 52.75 67.69 62.89 74.03 58.25
"125" 43.94 26.23 14.62 31.48 42.97 47.71 60.25 72.16 47.8
"126" 47.25 30.38 23.88 34.26 49.97 68.08 65.53 79.58 57.27
"127" 55.62 32.61 26.44 32.45 43.61 58.44 74.19 80.75 72.8
"128" 53.85 32.4 25.24 38.25 49.51 80.93 78.93 78.85 77.67
"129" 54.42 31.15 26.48 35.3 49.54 47.82 73.87 83.44 73.84
"130" 44.9 28.66 18.18 33.12 51.06 67.59 74.8 77.63 54.39
"131" 51.48 26.36 13.24 32.08 41.79 52.42 66.34 79.29 55.2
"132" 53.52 26.4 17.68 32.55 38.73 53.35 67.78 82.12 73.82
"133" 61.8 31.68 24.11 36.01 61.41 68.33 73 85.62 67.66
"134" 42.23 24.33 13.54 35.32 43.4 44.88 71 80.37 72.3
"135" 54.69 33.36 26.33 37.71 52.57 69.7 74.85 85.81 86.28
"136" 51.2 33.71 23.77 35.1 56.05 73.58 66.11 82.28 54.75
"137" 58.21 28.02 22.5 36.68 50.7 59.63 72.84 78.26 62.22
"138" 58.16 37.44 27.94 33.49 36.28 68.33 81.24 82.58 98.73
"139" 46.9 27.41 17.84 33.76 36.46 60.25 60.6 78.36 58.06
"140" 53.11 30.29 19.07 36.06 62.95 65.66 74.42 84.3 62.43
"141" 54.18 30.66 17.23 33.77 36.69 72.29 71.29 78.68 75
"142" 40.04 23.25 10.53 33.21 44.13 44.09 70.33 80.91 53.38
"143" 61.3 27.81 18.89 33.75 35.01 46.95 64.26 77.73 61.49
"144" 47.34 33.23 22.46 34.95 44.19 45.94 72.32 80.37 71.63
"145" 41.81 31.03 22.17 36.33 35.38 55.69 69.5 77.5 54.88
"146" 52.02 32 24.87 32.13 40.82 47.76 66.27 81.26 56.92
"147" 54.78 28.72 14.3 32.2 43.13 58.48 55.27 77.94 31.47
"148" 46.21 27.86 12.64 41.23 55.14 69.85 67.94 81.85 46.85
"149" 46.49 26.54 14.83 35.24 55.22 54.28 75.89 75.62 54.79
"150" 51.19 27.95 12.21 34.41 45.98 63.97 71.28 82.19 56.36
"151" 51.71 33.56 21.46 38.54 58.62 80.99 70.41 76.91 44.52
"152" 53.1 32.81 24.44 33.84 41.57 55.4 66.28 75.93 65.38
"153" 50.23 25.83 14.67 32.14 53.15 53.42 57.27 74.94 40.7
"154" 55.4 33.01 26.7 35.33 46.85 71.32 72.11 81.56 67.18
"155" 43.74 29.63 15.88 36.16 62.03 68.72 63.96 80.67 63.37
"156" 45.45 25.66 11.47 32.42 40.94 44.82 58.8 82.57 63.28
"157" 49.55 36.05 27.63 30.64 37.15 50.83 78.66 84.53 55.04
"158" 52.36 40.14 35.46 39.45 54.89 68.67 64.82 75.71 62.67
"159" 51.1 30.12 20.39 32.85 62.56 66.34 72.11 83.1 84.45
"160" 47.08 32.25 24.35 32.68 37.83 46.84 75.4 86.87 76.46
"161" 59.33 34.98 26.23 34.51 35.21 63.18 70.5 85.77 71.27
"162" 54.81 34.98 28.55 31.41 40.74 46.51 79.25 75.96 61.72
"163" 48.91 34.13 22.02 34.4 44.99 66.54 70.77 83.96 64.33
"164" 58.6 28.77 17.86 33.95 47.87 64.46 72.01 79.64 64.3
"165" 45.7 27.64 13.92 35.09 33.62 69.26 73.13 79.32 57.81
"166" 53.3 26.15 11.41 31.25 31.53 48.77 75.74 78.56 69.57
"167" 42.37 26.57 13.42 34.15 63.34 49.95 60.43 71.91 40.05
"168" 48.14 28.77 21.75 34.86 39.06 60.35 72 83.13 64.68
"169" 50.32 26.74 16.76 37.29 50.59 55.78 70.48 85.28 77.78
"170" 53.25 29.95 18.27 28.4 32.06 33.46 65.75 77.3 51.16
"171" 55.99 23.63 7.8 34.79 40.36 51.29 60.94 74.75 43.87
"172" 46.67 33.87 24.76 36.06 58.71 70.55 61.39 76.06 53.95
"173" 50.33 31.24 20.31 33.02 36.83 70.07 69.13 85.49 70.87
"174" 64.83 35.68 28.62 36.78 50.31 73.9 79.01 80.46 76.76
"175" 46.65 28.21 14.13 37.15 39.41 53.82 62.42 75.5 39.28
"176" 54.64 34.88 26.42 36.75 44.06 64.29 63.6 83.84 78.94
"177" 47.14 32.79 24.81 34.67 64.04 66.84 74.46 85.45 77.05
"178" 39.17 27.8 11.96 32.68 37.09 44.46 50.16 71.17 20.82
"179" 49.44 30.7 21.9 32.54 45.23 55.71 74.46 76.16 57.1
"180" 51.54 32.51 23.05 37.13 44.56 60.36 69.51 76.03 58.04
"181" 69.9 35.3 31.91 43.66 53.27 92.03 73.53 81.78 84.8
"182" 44.16 27.4 14.66 37.87 57.81 84.89 67.84 75.61 63.64
"183" 36.51 28.2 14.6 31.7 45.73 64.8 65.87 79.06 55.6
"184" 52.54 30.01 20.3 33.88 26.98 47.64 71.12 83.73 58.71
"185" 45.27 27.37 15.25 30.2 36.13 53.99 70.85 73.04 66.75
"186" 43 28.13 14.71 29.58 29.98 41.26 58.32 78.2 49.5
"187" 53.26 31.21 23.73 32.46 33.54 44.69 58.2 74.8 51.29
"188" 35.79 32.79 21.02 31.73 49.44 67.5 79.76 81.77 75.18
"189" 42.94 28.08 15.56 37.51 41.42 69.81 63.19 80 49.99
"190" 51.19 32.16 22.22 34.25 41.22 63.37 74.58 82.73 55.63
"191" 56.86 31.78 23.92 31.87 40.72 53.05 74.43 82.84 76.74
"192" 55.45 30.95 27.16 47.32 76.08 94.48 81.32 81.15 86
"193" 46.76 31.9 21.34 35.13 51.75 76.34 70.67 80.56 78.97
"194" 48.99 27.05 15.96 32.21 32.03 52.8 68.33 76.65 79.95
"195" 41.18 25.36 10.02 30.6 47.35 36.25 60.52 79.86 42.62
"196" 50.62 32.17 18.73 32.69 37.7 52.63 69.49 78.65 57.71
"197" 54.04 27.44 18.69 34.72 36.58 51.5 63.47 76.06 66.91
"198" 50.61 32.67 21.73 37.1 37.83 63.22 78.68 77.66 86.31
"199" 44.79 32.66 24.06 36.75 36.37 59.32 65.44 77.64 64.05
"200" 53.67 37.97 33.11 39.47 58.16 79.22 79.53 81.4 72.59
